datetime,date,food_name,calories,protein
2025-01-13 10:51:42,2025-01-13,breakfast,450,42
2025-01-13 16:25:42,2025-01-13,lunch,640,31
2025-01-13 19:51:42,2025-01-13,dinner,880,60
2025-01-14 10:11:42,2025-01-14,breakfast,680,52
2025-01-14 15:11:42,2025-01-14,lunch,400,14
2025-01-14 19:11:42,2025-01-14,dinner,700,55
2025-01-15 08:11:42,2025-01-15,breakfast,240,30
2025-01-15 11:22:42,2025-01-15,breakfast,560,28
2025-01-15 14:22:42,2025-01-15,lunch,560,24
2025-01-15 19:22:42,2025-01-15,dinner,550,23
2025-01-15 19:49:42,2025-01-15,dinner,130,24
2025-01-16 09:29:42,2025-01-16,breakfast,640,35
2025-01-16 15:29:42,2025-01-16,lunch,1100,60
2025-01-16 21:29:42,2025-01-16,dinner,320,34
2025-01-16 06:00:42,2025-01-16,breakfast,300,40
2025-01-17 08:40:42,2025-01-17,breakfast,640,35
2025-01-17 12:40:42,2025-01-17,lunch,136,8
2025-01-17 14:07:42,2025-01-17,lunch,800,30
2025-01-17 14:07:42,2025-01-17,lunch,220,6
2025-01-17 23:34:42,2025-01-17,dinner,900,50
2025-01-18 10:34:42,2025-01-18,breakfast,640,34
2025-01-18 14:34:42,2025-01-18,lunch,1000,60
2025-01-18 21:34:42,2025-01-18,dinner,1500,60
2025-01-19 12:34:42,2025-01-19,lunch,640,50
2025-01-19 14:34:42,2025-01-19,lunch,270,1
2025-01-19 18:34:42,2025-01-19,dinner,730,34
2025-01-19 21:34:42,2025-01-19,dinner,500,40
2025-01-20 06:34:42,2025-01-20,breakfast,220,24
2025-01-20 08:34:42,2025-01-20,breakfast,540,20
2025-01-20 12:34:42,2025-01-20,lunch,370,18
2025-01-20 22:34:42,2025-01-20,dinner,960,40
2025-01-21 09:34:42,2025-01-21,breakfast,500,25
2025-01-21 15:34:42,2025-01-21,lunch,1000,35
2025-01-21 23:34:42,2025-01-21,dinner,870,60
2025-01-22 08:34:42,2025-01-22,breakfast,750,55
2025-01-22 15:34:42,2025-01-22,lunch,850,45
2025-01-22 20:34:42,2025-01-22,dinner,120,10
2025-01-22 00:34:42,2025-01-22,dinner,700,60
2025-01-23 09:34:42,2025-01-23,breakfast,600,40
2025-01-23 14:34:42,2025-01-23,lunch,600,37
2025-01-23 21:34:42,2025-01-23,dinner,630,25
2025-01-23 23:34:42,2025-01-23,dinner,350,20
2025-01-24 09:34:42,2025-01-24,breakfast,250,32
2025-01-24 10:34:42,2025-01-24,breakfast,450,22
2025-01-24 15:34:42,2025-01-24,lunch,560,24
2025-01-24 18:34:42,2025-01-24,dinner,700,75
2025-01-24 18:34:42,2025-01-24,dinner,100,14
2025-01-25 10:34:42,2025-01-25,breakfast,650,30
2025-01-25 18:34:42,2025-01-25,dinner,500,28
2025-01-25 22:34:42,2025-01-25,dinner,1000,60
2025-01-26 15:49:42,2025-01-26,lunch,850,35
2025-01-26 21:49:42,2025-01-26,dinner,1000,60
2025-01-26 23:49:42,2025-01-26,dinner,370,40
2025-01-27 11:20:42,2025-01-27,breakfast,510,31
2025-01-27 14:20:42,2025-01-27,lunch,800,60
2025-01-27 19:30:42,2025-01-27,dinner,760,38
2025-01-28 13:30:42,2025-01-28,lunch,700,33
2025-01-28 16:30:42,2025-01-28,lunch,650,34
2025-01-28 20:00:42,2025-01-28,dinner,660,45
2025-01-29 10:00:42,2025-01-29,breakfast,700,34
2025-01-29 15:00:42,2025-01-29,lunch,560,26
2025-01-29 23:55:42,2025-01-29,dinner,800,70
2025-01-30 08:45:42,2025-01-30,breakfast,240,30
2025-01-30 10:45:42,2025-01-30,breakfast,680,35
2025-01-30 15:45:42,2025-01-30,lunch,800,70
2025-01-30 22:45:42,2025-01-30,dinner,750,25
2025-01-31 05:45:42,2025-01-31,breakfast,500,20
2025-01-31 12:45:42,2025-01-31,lunch,700,30
2025-01-31 19:45:42,2025-01-31,dinner,700,25
2025-01-31 23:45:42,2025-01-31,dinner,1500,20
2025-02-01 12:45:42,2025-02-01,lunch,450,5
2025-02-01 12:45:42,2025-02-01,lunch,2000,30
2025-02-02 10:45:42,2025-02-02,breakfast,650,30
2025-02-02 17:45:42,2025-02-02,lunch,1050,60
